stop_id,stop_code,stop_name,stop_lat,stop_lon,total_trip_events,num_unique_routes,service_id
1000,9992,361 The West Mall,43.6408,-79.5652,116,2,1
10000,731,Caledonia Rd at Leswyn Rd,43.7156,-79.4675,91,1,1
10001,4280,Kipling Ave at Jutland Rd North Side,43.6272,-79.529,150,1,1
10002,474,Bloor St West at Indian Rd,43.6555,-79.4567,36,1,1
10004,3784,Islington Ave at Elmhurst Dr South Side,43.7228,-79.5589,104,3,1
10005,5582,Markham Rd at Scranton Rd,43.7651,-79.2272,202,1,1
10006,3426,Chesswood Dr at Champagne Dr,43.7641,-79.4764,45,1,1
10007,1513,Royal York Rd at King Georges Rd,43.65,-79.5124,171,2,1
10008,7256,Sheppard Ave East at Washburn Way,43.7963,-79.2273,185,3,1
10009,2387,Eglinton Ave West at Northcliffe Blvd,43.6962,-79.4478,278,2,1
1001,6976,Royal York Rd at Bloor St West,43.6472,-79.5111,242,4,1
10010,7469,York Mills Rd at Harrison Rd,43.7499,-79.3787,269,4,1
10011,11229,Concorde Pl at Concorde Pl Cul De Sac,43.73,-79.3283,428,2,1
10012,6462,Huntingwood Dr at Pharmacy Ave,43.7818,-79.3199,41,1,1
10013,7322,Sherbourne St at King St East,43.6511,-79.3681,131,1,1
10018,3392,Calvington Dr at Dalsby Rd,43.7296,-79.5015,41,1,1
10019,1097,Gerrard St East at Logan Ave,43.6672,-79.3451,145,2,1
1002,7198,Sheppard Ave East at Kingston Rd North Side,43.7995,-79.1468,203,3,1
10020,5266,Lawrence Ave East at Galloway Rd,43.766,-79.1966,236,3,1
10021,501,Bloor St West at Clendenan Ave,43.6524,-79.4701,78,2,1
10022,2731,Islington Ave at Titan Rd,43.631,-79.5179,136,2,1
10023,12170,135 La Rose Ave,43.6851,-79.5231,58,2,1
10024,7119,Senlac Rd at Finch Ave West South Side,43.7762,-79.4302,50,1,1
10025,3775,Islington Ave at Cordova Ave North Side,43.6488,-79.5251,130,2,1
10026,3776,Islington Ave at Deerfoot Rd,43.6851,-79.5412,136,3,1
10027,10291,250 Finchdene Sq,43.8211,-79.2344,34,3,1
10028,6213,Wineva Ave at Queen St East,43.6711,-79.2959,204,1,1
1003,7011,Royal York Rd at Melrose St,43.6198,-79.4998,185,2,1
10030,13483,Eastern Ave at Knox Ave,43.6624,-79.3254,86,1,1
10031,8943,Yonge Blvd at Felbrigg Ave,43.7367,-79.4101,23,1,1
10032,277,Clark Ave West at York Hill Blvd,43.8042,-79.4447,44,1,1
10033,819,College St at Brock Ave,43.6519,-79.4362,145,2,1
10034,4283,Kipling Ave at Beaverbrook Ave,43.6622,-79.5441,137,1,1
10035,5782,Mortimer Ave at Greenwood Ave,43.6887,-79.3354,62,1,1
10036,409,Birchmount Rd at Exford Dr,43.7551,-79.2881,86,1,1
10037,513,Bloor St West at Forest View Rd East Side,43.6329,-79.573,55,1,1
10038,10920,Middlefield Rd Loop at Steeles Ave East,43.8351,-79.2683,97,1,1
1004,1367,125 Milner Ave,43.7853,-79.2461,48,1,1
10040,4585,Roselawn Ave at Bathurst St,43.7053,-79.4261,44,1,1
10041,14086,Staines Rd at Mantis Rd,43.8216,-79.2203,218,5,1
10042,5002,Scarlett Rd at Dixon Rd East Side,43.7011,-79.5276,128,1,1
10043,3901,Jane St at Haney Ave,43.6738,-79.4945,185,2,1
10044,3163,Warden Ave at Burn Hill Rd,43.7003,-79.2762,118,2,1
10045,3400,Calvington Dr at Roding St,43.7315,-79.4929,41,1,1
10046,13485,Queen's Plate Dr (West) at Triple Crown Ave West Side,43.7227,-79.6027,59,1,1
10047,8870,Wilson Ave at Lady York Ave,43.7313,-79.4643,434,7,1
1005,6541,Marlee Ave at Glencairn Ave,43.7089,-79.4437,55,1,1
10050,9589,McLevin Ave at Sewells Rd West Side,43.8106,-79.2147,50,1,1
10051,10600,Kennedy Rd at Perthshire St,43.8088,-79.3003,131,2,1
10052,1186,Jones Ave at Dundas St East,43.6663,-79.3344,70,1,1
10053,971,Donlands Ave at Sammon Ave,43.6859,-79.3397,64,1,1
10054,3073,Queen St East at Sumach St,43.6567,-79.359,142,2,1
10055,9028,Yonge St at Melrose Ave,43.733,-79.4044,82,2,1
10056,7111,Senlac Rd at York Cemetery,43.7645,-79.4248,52,1,1
10057,3749,Humber Blvd at Weston Rd West Side,43.6828,-79.4806,50,1,1
10058,4409,Lansdowne Ave at Tycos Dr,43.7042,-79.4603,44,1,1
10059,10447,2900 Jane St,43.7526,-79.5167,241,3,1
1006,10013,McCowan Rd at Denison St,43.8416,-79.2782,62,1,1
10060,3986,Keele St at Falstaff Ave North Side,43.7206,-79.4806,158,3,1
10061,4880,Church St at Jane St,43.7092,-79.5058,59,1,1
10062,6662,Pharmacy Ave at Arnall Ave,43.8073,-79.3323,40,1,1
10064,675,Burnhamthorpe Rd at Echo Valley Rd West Side,43.6504,-79.5427,69,1,1
10065,183,6101 Bathurst St,43.7874,-79.4462,180,3,1
10066,9635,Brimley Rd at Mandarin Rd,43.7225,-79.242,60,2,1
10069,4028,Keele St at The Pond Rd,43.7717,-79.4929,45,1,1
1007,1943,Don Mills Rd at Havenbrook Blvd,43.7698,-79.3467,249,3,1
10070,4352,800 Kipling Ave,43.6293,-79.5302,148,1,1
10071,3826,Islington Ave at Prince George Dr,43.6723,-79.5357,131,2,1
10072,10007,McCowan Rd at Carlton Rd,43.8772,-79.2871,62,1,1
10074,3020,Opposite 60 Park Lane Cir,43.7294,-79.3672,32,1,1
10075,2462,Faywood Blvd at Ansford Ave,43.7359,-79.4468,47,1,1
10076,6822,Queen St East at Wineva Ave,43.6711,-79.2953,155,2,1
10077,11159,Commander Blvd at McCowan Rd,43.796,-79.262,40,1,1
10078,1748,The Bridle Path at Park Lane Cir,43.731,-79.3616,32,1,1
10079,6733,Pharmacy Ave at Opposite Walkway to Ecclesfield Dr,43.8089,-79.333,40,1,1
1008,10546,Warden Ave at Carlton Rd,43.8674,-79.3367,39,1,1
10081,6256,Berry Rd at Bell Manor Dr,43.6372,-79.4888,58,1,1
10083,8471,Victoria Park Ave at Ivordale Cres (North),43.7556,-79.3143,171,2,1
10084,715,Caledonia Rd at Eglinton Ave West,43.6928,-79.462,91,1,1
10085,4698,Victoria Park Ave at Winston Ave,43.6837,-79.2852,173,4,1
10086,4977,Dixon Rd at Celestine Dr,43.6932,-79.5626,135,2,1
10087,4751,Airport Rd at Jetliner Rd East Side,43.6858,-79.6063,179,4,1
10088,8490,Victoria Park Ave at Parkwoods Village Dr,43.7581,-79.3155,222,3,1
1009,8012,Overlea Blvd at Thorncliffe Park Dr (West),43.7052,-79.3499,394,3,1
10090,7876,John Garland Blvd at Martin Grove Rd,43.7319,-79.5896,207,2,1
10091,5608,Martin Grove Rd at Dixon Rd,43.6919,-79.5712,69,1,1
10092,8114,Sloane Ave at Wigmore Dr,43.7325,-79.3105,58,1,1
10093,8121,Spadina Ave at Dundas St West South Side,43.6525,-79.3979,232,2,1
10096,8732,Weston Rd at Imogene Ave,43.7429,-79.5405,148,1,1
10097,1309,McCowan Rd at Milner Ave,43.7855,-79.2567,299,5,1
10098,1766,Broadview Ave at Withrow Ave,43.6696,-79.353,413,6,1
10099,5424,1125 Leslie St North Side,43.7251,-79.3489,234,2,1
1010,843,College St at Spadina Ave,43.6579,-79.4004,145,2,1
10100,3382,Brown's Line at Horner Ave South Side,43.6013,-79.5452,134,3,1
10101,10561,Opposite 7303 Warden Ave,43.8302,-79.3274,37,1,1
10102,3081,Queen St West at Bathurst St,43.6473,-79.4037,155,2,1
