stop_id,stop_code,stop_name,stop_lat,stop_lon,num_unique_routes,service_id
24709,16453,Kennedy Station Drop-off Platform,43.7322,-79.2635,17,1
3121,1613,Triton Rd at Borough Dr,43.7735,-79.2614,11,1
7848,1612,Triton Rd at Borough Dr,43.7737,-79.2615,11,1
24679,16376,Midland Ave at Lawrence Ave East South Side,43.7508,-79.265,10,1
5935,1657,Wilson Ave at Dufferin St,43.7319,-79.4595,9,1
8737,1656,Wilson Ave at Dufferin St West Side,43.7321,-79.4594,9,1
894,1662,Wilson Ave at Lady York Ave,43.731,-79.4646,8,1
895,13470,Opposite 675 Wilson Ave,43.733,-79.4551,8,1
9633,2268,Eglinton Ave East at Dunfield Ave,43.7075,-79.395,8,1
9949,1038,North Service Rd at Eglinton Ave East,43.733,-79.2655,8,1
10109,8848,Wilson Ave at Dubray Ave,43.728,-79.4779,8,1
14285,14766,Scarborough Centre Station,43.7745,-79.2572,8,1
24060,15702,Eglinton Ave East at Dunfield Ave,43.7072,-79.3956,8,1
24676,16373,Kennedy Rd at Lawrence Ave East East Side,43.75,-79.275,8,1
24677,16374,Ellesmere Rd at Midland Ave East Side,43.768,-79.2704,8,1
24678,16375,Midland Ave at Ellesmere Rd South Side,43.7675,-79.2712,8,1
3014,4079,Kennedy Rd at Ellesmere Rd,43.7656,-79.2809,8,1
303,13898,Duplex Ave at Eglinton Ave West,43.7062,-79.4001,8,1
3913,8851,Wilson Ave at Dubray Ave,43.7283,-79.4775,8,1
4697,2305,Eglinton Ave East at Redpath Ave,43.708,-79.3926,8,1
6665,2304,Eglinton Ave East at Redpath Ave,43.7078,-79.3929,8,1
10047,8870,Wilson Ave at Lady York Ave,43.7313,-79.4643,7,1
24572,16332,Eglinton Ave East at Mount Pleasant Rd,43.7083,-79.3904,7,1
2458,8873,949 Wilson Ave,43.7288,-79.4745,7,1
24584,16339,Eglinton Ave East at South Service Rd East Side,43.7328,-79.2653,7,1
24809,16529,McCowan Rd at 300 Consilium Pl,43.7783,-79.2536,7,1
271,9125,Don Mills Rd at Eglinton Ave East North Side,43.7214,-79.3389,7,1
2876,7704,Ellesmere Rd at Neilson Rd - Scarborough Health Network Centenary Hospital,43.7824,-79.2051,7,1
2901,7161,Sheppard Ave East at Brian Dr West Side,43.7753,-79.3317,7,1
310,9855,Edna Ave at Dundas St West,43.6571,-79.453,7,1
3373,8877,Wilson Ave at Northgate Dr,43.7302,-79.4682,7,1
4924,7702,Ellesmere Rd at Morningside Ave,43.7852,-79.1936,7,1
4926,8857,Wilson Ave at Garratt Blvd,43.7305,-79.468,7,1
5105,11348,Victoria Park Ave at Denton Ave,43.6926,-79.2888,7,1
5623,8843,Wilson Ave at Apex Lane,43.7287,-79.4758,7,1
7617,8876,Wilson Ave at Murray Rd,43.7297,-79.4714,7,1
8000,7698,Ellesmere Rd at Military Trail (East),43.7864,-79.1884,7,1
8004,8875,Wilson Ave at Murray Rd,43.7294,-79.4717,7,1
8599,1602,Steeles Ave West at Northwest Gate,43.7779,-79.5108,7,1
8890,1037,Eglinton Ave East at Midland Ave,43.7343,-79.2585,7,1
9640,1601,Steeles Ave West at Northwest Gate East Side,43.7777,-79.5105,7,1
7417,2284,Eglinton Ave East at Laird Dr East Side,43.7137,-79.3638,6,1
7801,1767,Broadview Ave at Withrow Ave,43.6699,-79.3534,6,1
7809,1763,Broadview Ave at Jack Layton Way,43.6665,-79.3531,6,1
8203,2295,Eglinton Ave East at Mt Pleasant Rd,43.7085,-79.39,6,1
8401,1942,Don Mills Rd at Green Belt Dr North Side,43.7275,-79.3406,6,1
8411,8866,Wilson Ave at Julian Rd West Side - Humber River Hospital,43.7247,-79.4915,6,1
8427,2235,Eglinton Ave East at Banff Rd,43.7101,-79.3821,6,1
8499,1762,Broadview Ave at Millbrook Cres,43.6721,-79.3552,6,1
8504,4690,Victoria Park Ave at Danforth Ave,43.6914,-79.2885,6,1
893,8869,Wilson Ave at Keele St,43.7269,-79.4817,6,1
8986,1032,Eglinton Ave East at Falmouth Ave,43.7355,-79.2533,6,1
9046,7887,Keele St at Dundas St West South Side,43.6651,-79.4645,6,1
9120,9513,Sheppard Ave East at Victoria Park Ave West Side,43.7752,-79.3237,6,1
9201,1048,Ellesmere Rd at Markham Rd,43.7762,-79.232,6,1
9248,2238,Eglinton Ave East at Bayview Ave,43.7109,-79.3774,6,1
9364,655,Broadview Ave at Browning Ave,43.6809,-79.3577,6,1
9391,1317,McCowan Rd at Sheppard Ave East,43.7895,-79.2586,6,1
