route_long_name,route_short_name,service_id,hour_of_day,trips_per_hour
VAN HORNE,10,1,5,5
VAN HORNE,10,1,6,4
VAN HORNE,10,1,7,4
VAN HORNE,10,1,8,4
VAN HORNE,10,1,9,3
VAN HORNE,10,1,13,1
VAN HORNE,10,1,14,4
VAN HORNE,10,1,15,5
VAN HORNE,10,1,16,5
VAN HORNE,10,1,17,5
VAN HORNE,10,1,18,5
VAN HORNE,10,1,19,3
FLEMINGDON PARK,100,1,5,9
FLEMINGDON PARK,100,1,6,18
FLEMINGDON PARK,100,1,7,26
FLEMINGDON PARK,100,1,8,32
FLEMINGDON PARK,100,1,9,28
FLEMINGDON PARK,100,1,10,24
FLEMINGDON PARK,100,1,11,24
FLEMINGDON PARK,100,1,12,24
FLEMINGDON PARK,100,1,13,24
FLEMINGDON PARK,100,1,14,25
FLEMINGDON PARK,100,1,15,30
FLEMINGDON PARK,100,1,16,33
FLEMINGDON PARK,100,1,17,33
FLEMINGDON PARK,100,1,18,28
FLEMINGDON PARK,100,1,19,19
FLEMINGDON PARK,100,1,20,18
FLEMINGDON PARK,100,1,21,18
FLEMINGDON PARK,100,1,22,18
FLEMINGDON PARK,100,1,23,16
FLEMINGDON PARK,100,1,24,16
FLEMINGDON PARK,100,1,25,9
FLEMINGDON PARK,100,2,6,12
FLEMINGDON PARK,100,2,7,21
FLEMINGDON PARK,100,2,8,19
FLEMINGDON PARK,100,2,9,19
FLEMINGDON PARK,100,2,10,19
FLEMINGDON PARK,100,2,11,19
FLEMINGDON PARK,100,2,12,20
FLEMINGDON PARK,100,2,13,22
FLEMINGDON PARK,100,2,14,21
FLEMINGDON PARK,100,2,15,21
FLEMINGDON PARK,100,2,16,22
FLEMINGDON PARK,100,2,17,21
FLEMINGDON PARK,100,2,18,21
FLEMINGDON PARK,100,2,19,22
FLEMINGDON PARK,100,2,20,20
FLEMINGDON PARK,100,2,21,20
FLEMINGDON PARK,100,2,22,20
FLEMINGDON PARK,100,2,23,20
FLEMINGDON PARK,100,2,24,19
FLEMINGDON PARK,100,2,25,13
FLEMINGDON PARK,100,3,7,6
FLEMINGDON PARK,100,3,8,16
FLEMINGDON PARK,100,3,9,17
FLEMINGDON PARK,100,3,10,17
FLEMINGDON PARK,100,3,11,17
FLEMINGDON PARK,100,3,12,17
FLEMINGDON PARK,100,3,13,18
FLEMINGDON PARK,100,3,14,18
FLEMINGDON PARK,100,3,15,18
FLEMINGDON PARK,100,3,16,18
FLEMINGDON PARK,100,3,17,18
FLEMINGDON PARK,100,3,18,18
FLEMINGDON PARK,100,3,19,18
FLEMINGDON PARK,100,3,20,18
FLEMINGDON PARK,100,3,21,18
FLEMINGDON PARK,100,3,22,17
FLEMINGDON PARK,100,3,23,17
FLEMINGDON PARK,100,3,24,17
FLEMINGDON PARK,100,3,25,10
FLEMINGDON PARK,100,4,6,10
FLEMINGDON PARK,100,4,7,17
FLEMINGDON PARK,100,4,8,17
FLEMINGDON PARK,100,4,9,17
FLEMINGDON PARK,100,4,10,17
FLEMINGDON PARK,100,4,11,17
FLEMINGDON PARK,100,4,12,17
FLEMINGDON PARK,100,4,13,18
FLEMINGDON PARK,100,4,14,18
FLEMINGDON PARK,100,4,15,18
FLEMINGDON PARK,100,4,16,18
FLEMINGDON PARK,100,4,17,18
FLEMINGDON PARK,100,4,18,18
FLEMINGDON PARK,100,4,19,18
FLEMINGDON PARK,100,4,20,18
FLEMINGDON PARK,100,4,21,18
FLEMINGDON PARK,100,4,22,17
FLEMINGDON PARK,100,4,23,17
FLEMINGDON PARK,100,4,24,17
FLEMINGDON PARK,100,4,25,10
DOWNSVIEW PARK,101,1,5,2
DOWNSVIEW PARK,101,1,6,5
DOWNSVIEW PARK,101,1,7,6
DOWNSVIEW PARK,101,1,8,9
DOWNSVIEW PARK,101,1,9,6
DOWNSVIEW PARK,101,1,10,5
DOWNSVIEW PARK,101,1,11,5
DOWNSVIEW PARK,101,1,12,5
DOWNSVIEW PARK,101,1,13,5
DOWNSVIEW PARK,101,1,14,5
DOWNSVIEW PARK,101,1,15,6
DOWNSVIEW PARK,101,1,16,7
DOWNSVIEW PARK,101,1,17,9
DOWNSVIEW PARK,101,1,18,5
DOWNSVIEW PARK,101,1,19,4
DOWNSVIEW PARK,101,1,20,4
DOWNSVIEW PARK,101,1,21,5
DOWNSVIEW PARK,101,1,22,4
DOWNSVIEW PARK,101,2,9,5
DOWNSVIEW PARK,101,2,10,4
DOWNSVIEW PARK,101,2,11,5
DOWNSVIEW PARK,101,2,12,5
DOWNSVIEW PARK,101,2,13,5
DOWNSVIEW PARK,101,2,14,5
DOWNSVIEW PARK,101,2,15,5
DOWNSVIEW PARK,101,2,16,5
DOWNSVIEW PARK,101,2,17,5
DOWNSVIEW PARK,101,2,18,5
DOWNSVIEW PARK,101,2,19,5
DOWNSVIEW PARK,101,2,20,5
DOWNSVIEW PARK,101,2,21,5
DOWNSVIEW PARK,101,2,22,4
DOWNSVIEW PARK,101,3,9,5
DOWNSVIEW PARK,101,3,10,4
DOWNSVIEW PARK,101,3,11,5
DOWNSVIEW PARK,101,3,12,5
DOWNSVIEW PARK,101,3,13,5
DOWNSVIEW PARK,101,3,14,5
DOWNSVIEW PARK,101,3,15,5
DOWNSVIEW PARK,101,3,16,5
DOWNSVIEW PARK,101,3,17,5
DOWNSVIEW PARK,101,3,18,5
DOWNSVIEW PARK,101,3,19,5
DOWNSVIEW PARK,101,3,20,5
DOWNSVIEW PARK,101,3,21,5
DOWNSVIEW PARK,101,3,22,4
DOWNSVIEW PARK,101,4,9,5
DOWNSVIEW PARK,101,4,10,4
DOWNSVIEW PARK,101,4,11,5
DOWNSVIEW PARK,101,4,12,5
DOWNSVIEW PARK,101,4,13,5
DOWNSVIEW PARK,101,4,14,5
DOWNSVIEW PARK,101,4,15,5
DOWNSVIEW PARK,101,4,16,5
DOWNSVIEW PARK,101,4,17,5
DOWNSVIEW PARK,101,4,18,5
DOWNSVIEW PARK,101,4,19,5
DOWNSVIEW PARK,101,4,20,5
DOWNSVIEW PARK,101,4,21,5
DOWNSVIEW PARK,101,4,22,4
MARKHAM RD,102,1,4,9
MARKHAM RD,102,1,5,24
MARKHAM RD,102,1,6,38
MARKHAM RD,102,1,7,42
MARKHAM RD,102,1,8,42
MARKHAM RD,102,1,9,42
MARKHAM RD,102,1,10,38
MARKHAM RD,102,1,11,37
MARKHAM RD,102,1,12,37
MARKHAM RD,102,1,13,37
MARKHAM RD,102,1,14,38
MARKHAM RD,102,1,15,38
MARKHAM RD,102,1,16,38
MARKHAM RD,102,1,17,39
MARKHAM RD,102,1,18,39
MARKHAM RD,102,1,19,41
MARKHAM RD,102,1,20,44
MARKHAM RD,102,1,21,42
MARKHAM RD,102,1,22,41
MARKHAM RD,102,1,23,36
MARKHAM RD,102,1,24,33
MARKHAM RD,102,1,25,26
MARKHAM RD,102,1,26,7
MARKHAM RD,102,1,27,1
MARKHAM RD,102,2,4,4
MARKHAM RD,102,2,5,15
MARKHAM RD,102,2,6,25
MARKHAM RD,102,2,7,30
MARKHAM RD,102,2,8,34
MARKHAM RD,102,2,9,32
MARKHAM RD,102,2,10,33
MARKHAM RD,102,2,11,36
MARKHAM RD,102,2,12,43
MARKHAM RD,102,2,13,42
MARKHAM RD,102,2,14,43
MARKHAM RD,102,2,15,43
MARKHAM RD,102,2,16,43
MARKHAM RD,102,2,17,42
MARKHAM RD,102,2,18,42
MARKHAM RD,102,2,19,45
MARKHAM RD,102,2,20,41
MARKHAM RD,102,2,21,34
MARKHAM RD,102,2,22,34
MARKHAM RD,102,2,23,29
MARKHAM RD,102,2,24,25
MARKHAM RD,102,2,25,24
MARKHAM RD,102,2,26,9
MARKHAM RD,102,3,5,2
MARKHAM RD,102,3,6,9
MARKHAM RD,102,3,7,22
MARKHAM RD,102,3,8,28
MARKHAM RD,102,3,9,31
MARKHAM RD,102,3,10,30
MARKHAM RD,102,3,11,34
MARKHAM RD,102,3,12,41
MARKHAM RD,102,3,13,41
MARKHAM RD,102,3,14,41
MARKHAM RD,102,3,15,41
MARKHAM RD,102,3,16,41
MARKHAM RD,102,3,17,41
MARKHAM RD,102,3,18,41
MARKHAM RD,102,3,19,40
MARKHAM RD,102,3,20,36
MARKHAM RD,102,3,21,32
MARKHAM RD,102,3,22,34
MARKHAM RD,102,3,23,28
MARKHAM RD,102,3,24,25
MARKHAM RD,102,3,25,20
MARKHAM RD,102,3,26,5
MARKHAM RD,102,4,5,2
MARKHAM RD,102,4,6,9
MARKHAM RD,102,4,7,23
MARKHAM RD,102,4,8,29
MARKHAM RD,102,4,9,31
MARKHAM RD,102,4,10,30
MARKHAM RD,102,4,11,34
MARKHAM RD,102,4,12,41
MARKHAM RD,102,4,13,41
MARKHAM RD,102,4,14,41
MARKHAM RD,102,4,15,41
MARKHAM RD,102,4,16,41
MARKHAM RD,102,4,17,41
MARKHAM RD,102,4,18,41
MARKHAM RD,102,4,19,42
MARKHAM RD,102,4,20,38
MARKHAM RD,102,4,21,32
MARKHAM RD,102,4,22,34
MARKHAM RD,102,4,23,28
MARKHAM RD,102,4,24,25
MARKHAM RD,102,4,25,20
MARKHAM RD,102,4,26,5
MARKHAM RD,102,401,14,1
MARKHAM RD,102,401,15,1
MOUNT PLEASANT NORTH,103,1,5,3
MOUNT PLEASANT NORTH,103,1,6,7
MOUNT PLEASANT NORTH,103,1,7,8
MOUNT PLEASANT NORTH,103,1,8,6
MOUNT PLEASANT NORTH,103,1,9,8
MOUNT PLEASANT NORTH,103,1,10,6
MOUNT PLEASANT NORTH,103,1,11,6
MOUNT PLEASANT NORTH,103,1,12,6
MOUNT PLEASANT NORTH,103,1,13,6
MOUNT PLEASANT NORTH,103,1,14,8
MOUNT PLEASANT NORTH,103,1,15,6
MOUNT PLEASANT NORTH,103,1,16,6
MOUNT PLEASANT NORTH,103,1,17,7
MOUNT PLEASANT NORTH,103,1,18,6
MOUNT PLEASANT NORTH,103,1,19,8
MOUNT PLEASANT NORTH,103,1,20,6
MOUNT PLEASANT NORTH,103,1,21,6
MOUNT PLEASANT NORTH,103,1,22,5
MOUNT PLEASANT NORTH,103,1,23,4
MOUNT PLEASANT NORTH,103,1,24,4
MOUNT PLEASANT NORTH,103,1,25,2
MOUNT PLEASANT NORTH,103,2,5,2
MOUNT PLEASANT NORTH,103,2,6,4
MOUNT PLEASANT NORTH,103,2,7,5
MOUNT PLEASANT NORTH,103,2,8,7
MOUNT PLEASANT NORTH,103,2,9,8
MOUNT PLEASANT NORTH,103,2,10,8
MOUNT PLEASANT NORTH,103,2,11,8
MOUNT PLEASANT NORTH,103,2,12,8
MOUNT PLEASANT NORTH,103,2,13,6
MOUNT PLEASANT NORTH,103,2,14,6
MOUNT PLEASANT NORTH,103,2,15,8
MOUNT PLEASANT NORTH,103,2,16,8
MOUNT PLEASANT NORTH,103,2,17,6
MOUNT PLEASANT NORTH,103,2,18,6
MOUNT PLEASANT NORTH,103,2,19,8
MOUNT PLEASANT NORTH,103,2,20,8
MOUNT PLEASANT NORTH,103,2,21,8
MOUNT PLEASANT NORTH,103,2,22,6
MOUNT PLEASANT NORTH,103,2,23,5
MOUNT PLEASANT NORTH,103,2,24,5
MOUNT PLEASANT NORTH,103,2,25,2
MOUNT PLEASANT NORTH,103,3,7,3
MOUNT PLEASANT NORTH,103,3,8,8
MOUNT PLEASANT NORTH,103,3,9,8
MOUNT PLEASANT NORTH,103,3,10,8
MOUNT PLEASANT NORTH,103,3,11,8
MOUNT PLEASANT NORTH,103,3,12,8
